sa2_code,name,worksheet_row,erp_2020,erp_2021,erp_2022,erp_2023,erp_2024,erp_2025
213051368,Werribee - South,1087,16350,16994,17428,17780,17866,17936
213051464,Point Cook - East,1088,19135,19593,20081,20740,21396,21797
213051466,Point Cook - South,1089,19372,19384,19610,20167,20490,20835
213051467,Werribee - East,1090,20186,19235,18765,18910,19040,19205
213051468,Werribee - West,1091,20235,22692,25434,28022,30413,32943
213051579,Manor Lakes - Quandong,1092,10023,10791,11395,11954,12519,13667
213051580,Point Cook - North East,1093,14973,14324,14272,14647,14749,14746
213051581,Point Cook - North West,1094,9798,9689,9724,9958,10107,10151
213051582,Tarneit (West) - Mount Cottrell,1095,7364,10316,13015,15199,17068,19169
213051583,Tarneit - Central,1096,28306,28594,28649,29230,29337,29246
213051584,Tarneit - North,1097,5655,7340,9368,11142,13406,15880
213051585,Tarneit - South,1098,11515,11312,11368,11578,11637,11864
213051586,Truganina - North,1099,7904,9548,11538,12957,14210,15384
213051587,Truganina - South East,1100,9090,9761,9994,10399,10633,10846
213051588,Truganina - South West,1101,19407,19389,19472,19868,20259,20395
213051589,Wyndham Vale - North,1102,7852,9176,10654,11820,13052,14515
213051590,Wyndham Vale - South,1103,13913,13704,13692,13850,14106,14135
214011370,Carrum Downs,1104,22391,22264,22386,22858,23286,23464
214011371,Frankston,1105,24264,23909,23809,24132,24736,25043
214011372,Frankston North,1106,19973,19666,19587,19730,19791,19794
214011373,Frankston South,1107,19182,18948,18985,19139,19184,19374
214011374,Langwarrin,1108,25259,25252,25337,25531,25697,25788
214011375,Seaford (Vic.),1109,17443,17362,17465,17731,18024,18305
214011376,Skye - Sandhurst,1110,13679,13423,13459,13506,13573,13601
214021377,Dromana,1111,13175,13469,13560,13560,13756,13925
214021378,Flinders,1112,5957,6024,6026,5989,6030,6064
214021379,Hastings - Somers,1113,24194,24245,24029,23856,23769,23795
214021381,Mount Eliza,1114,19139,18924,18779,18871,18982,19110
214021382,Mount Martha,1115,20076,20026,19960,20057,20116,20161
214021383,Point Nepean,1116,19649,20000,19931,19927,20222,20574
214021384,Rosebud - McCrae,1117,22938,23149,22957,23068,23205,23508
214021385,Somerville,1118,18795,18693,18596,18776,18921,19098
214021591,Mornington - East,1119,15544,15272,15074,15041,15062,15082
214021592,Mornington - West,1120,10719,10638,10621,10746,10794,10900
