sa2_code,year,population,reference_date,revision_status,source_id,source_locator
206051134,2025,17380,2025-06-30,preliminary,abs-erp-2024-25,Table 1!AI795
206051511,2020,1709,2020-06-30,final,abs-erp-2024-25,Table 1!AD796
206051511,2021,1944,2021-06-30,final,abs-erp-2024-25,Table 1!AE796
206051511,2022,2195,2022-06-30,revised,abs-erp-2024-25,Table 1!AF796
206051511,2023,2457,2023-06-30,revised,abs-erp-2024-25,Table 1!AG796
206051511,2024,2567,2024-06-30,revised,abs-erp-2024-25,Table 1!AH796
206051511,2025,3148,2025-06-30,preliminary,abs-erp-2024-25,Table 1!AI796
206051512,2020,12721,2020-06-30,final,abs-erp-2024-25,Table 1!AD797
206051512,2021,11856,2021-06-30,final,abs-erp-2024-25,Table 1!AE797
206051512,2022,11828,2022-06-30,revised,abs-erp-2024-25,Table 1!AF797
206051512,2023,12455,2023-06-30,revised,abs-erp-2024-25,Table 1!AG797
206051512,2024,12826,2024-06-30,revised,abs-erp-2024-25,Table 1!AH797
206051512,2025,13132,2025-06-30,preliminary,abs-erp-2024-25,Table 1!AI797
206051513,2020,13380,2020-06-30,final,abs-erp-2024-25,Table 1!AD798
206051513,2021,12086,2021-06-30,final,abs-erp-2024-25,Table 1!AE798
206051513,2022,12207,2022-06-30,revised,abs-erp-2024-25,Table 1!AF798
206051513,2023,13134,2023-06-30,revised,abs-erp-2024-25,Table 1!AG798
206051513,2024,13641,2024-06-30,revised,abs-erp-2024-25,Table 1!AH798
206051513,2025,14012,2025-06-30,preliminary,abs-erp-2024-25,Table 1!AI798
206051514,2020,15648,2020-06-30,final,abs-erp-2024-25,Table 1!AD799
206051514,2021,14090,2021-06-30,final,abs-erp-2024-25,Table 1!AE799
206051514,2022,14211,2022-06-30,revised,abs-erp-2024-25,Table 1!AF799
206051514,2023,15419,2023-06-30,revised,abs-erp-2024-25,Table 1!AG799
206051514,2024,15944,2024-06-30,revised,abs-erp-2024-25,Table 1!AH799
206051514,2025,16298,2025-06-30,preliminary,abs-erp-2024-25,Table 1!AI799
206061135,2020,10075,2020-06-30,final,abs-erp-2024-25,Table 1!AD800
206061135,2021,9433,2021-06-30,final,abs-erp-2024-25,Table 1!AE800
206061135,2022,9343,2022-06-30,revised,abs-erp-2024-25,Table 1!AF800
206061135,2023,9735,2023-06-30,revised,abs-erp-2024-25,Table 1!AG800
206061135,2024,9934,2024-06-30,revised,abs-erp-2024-25,Table 1!AH800
206061135,2025,10032,2025-06-30,preliminary,abs-erp-2024-25,Table 1!AI800
206061136,2020,20847,2020-06-30,final,abs-erp-2024-25,Table 1!AD801
206061136,2021,19444,2021-06-30,final,abs-erp-2024-25,Table 1!AE801
206061136,2022,19191,2022-06-30,revised,abs-erp-2024-25,Table 1!AF801
206061136,2023,20171,2023-06-30,revised,abs-erp-2024-25,Table 1!AG801
206061136,2024,20777,2024-06-30,revised,abs-erp-2024-25,Table 1!AH801
206061136,2025,21112,2025-06-30,preliminary,abs-erp-2024-25,Table 1!AI801
206061138,2020,13644,2020-06-30,final,abs-erp-2024-25,Table 1!AD802
206061138,2021,13096,2021-06-30,final,abs-erp-2024-25,Table 1!AE802
206061138,2022,13081,2022-06-30,revised,abs-erp-2024-25,Table 1!AF802
206061138,2023,13297,2023-06-30,revised,abs-erp-2024-25,Table 1!AG802
206061138,2024,13439,2024-06-30,revised,abs-erp-2024-25,Table 1!AH802
206061138,2025,13610,2025-06-30,preliminary,abs-erp-2024-25,Table 1!AI802
206061515,2020,12223,2020-06-30,final,abs-erp-2024-25,Table 1!AD803
206061515,2021,11449,2021-06-30,final,abs-erp-2024-25,Table 1!AE803
206061515,2022,11717,2022-06-30,revised,abs-erp-2024-25,Table 1!AF803
206061515,2023,12877,2023-06-30,revised,abs-erp-2024-25,Table 1!AG803
206061515,2024,13516,2024-06-30,revised,abs-erp-2024-25,Table 1!AH803
206061515,2025,13779,2025-06-30,preliminary,abs-erp-2024-25,Table 1!AI803
206061516,2020,11285,2020-06-30,final,abs-erp-2024-25,Table 1!AD804
206061516,2021,10097,2021-06-30,final,abs-erp-2024-25,Table 1!AE804
206061516,2022,9883,2022-06-30,revised,abs-erp-2024-25,Table 1!AF804
206061516,2023,10435,2023-06-30,revised,abs-erp-2024-25,Table 1!AG804
206061516,2024,10452,2024-06-30,revised,abs-erp-2024-25,Table 1!AH804
206061516,2025,10440,2025-06-30,preliminary,abs-erp-2024-25,Table 1!AI804
206071139,2020,9672,2020-06-30,final,abs-erp-2024-25,Table 1!AD805
206071139,2021,9258,2021-06-30,final,abs-erp-2024-25,Table 1!AE805
206071139,2022,9450,2022-06-30,revised,abs-erp-2024-25,Table 1!AF805
206071139,2023,9948,2023-06-30,revised,abs-erp-2024-25,Table 1!AG805
206071139,2024,10207,2024-06-30,revised,abs-erp-2024-25,Table 1!AH805
206071139,2025,10316,2025-06-30,preliminary,abs-erp-2024-25,Table 1!AI805
