sa2_code,name,boundary_year,gccsa_code,official_area_sq_km,calculated_area_m2,area_crs,is_comparable,eligibility_note,source_id
207021159,Templestowe,2021,2GMEL,16.1176,16114902.619834172,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
207021160,Templestowe Lower,2021,2GMEL,5.9386,5937488.674628687,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
207021424,Doncaster East - North,2021,2GMEL,6.403,6402257.944830492,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
207021425,Doncaster East - South,2021,2GMEL,4.7684,4767989.962844413,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
207031161,Blackburn,2021,2GMEL,8.6076,8605918.863558155,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
207031162,Blackburn South,2021,2GMEL,3.5966,3596190.1913425755,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
207031163,Box Hill,2021,2GMEL,7.0123,7011467.635906093,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
207031164,Box Hill North,2021,2GMEL,6.2087,6207573.86614349,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
207031165,Burwood (Vic.),2021,2GMEL,5.0392,5038577.855604747,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
207031166,Burwood East,2021,2GMEL,4.2629,4261720.373150725,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
207031167,Surrey Hills (East) - Mont Albert,2021,2GMEL,3.3279,3327567.6328410874,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
208011168,Beaumaris,2021,2GMEL,5.9678,5967589.649324388,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
208011169,Brighton (Vic.),2021,2GMEL,8.2004,8200203.057314385,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
208011170,Brighton East,2021,2GMEL,5.6083,5607535.201830331,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
208011171,Highett (West) - Cheltenham,2021,2GMEL,5.3198,5319200.7202402,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
208011172,Hampton,2021,2GMEL,5.6847,5684605.55402354,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
208011173,Sandringham - Black Rock,2021,2GMEL,6.4301,6429504.80195837,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
208021174,Bentleigh - McKinnon,2021,2GMEL,6.2242,6224252.78533343,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
208021176,Carnegie,2021,2GMEL,3.8045,3804359.9268902354,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
208021177,Caulfield - North,2021,2GMEL,6.4189,6418842.188875705,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
208021178,Caulfield - South,2021,2GMEL,4.7426,4742017.622300294,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
208021179,Elsternwick,2021,2GMEL,2.8616,2861624.702217493,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
208021180,Hughesdale,2021,2GMEL,2.0095,2009487.0673644086,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
208021181,Murrumbeena,2021,2GMEL,2.5148,2514550.363971753,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
208021182,Ormond - Glen Huntly,2021,2GMEL,2.9371,2936719.3976728893,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
208021426,Bentleigh East - North,2021,2GMEL,4.5989,4598658.150537179,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
208021427,Bentleigh East - South,2021,2GMEL,4.5882,4587620.401393411,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
208031183,Aspendale Gardens - Waterways,2021,2GMEL,5.3073,5306508.0503522195,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
208031184,Braeside,2021,2GMEL,9.0819,9080767.6009808,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
208031185,Carrum - Patterson Lakes,2021,2GMEL,5.8242,5824096.498041001,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
208031186,Chelsea - Bonbeach,2021,2GMEL,5.423,5422336.999055137,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
208031187,Chelsea Heights,2021,2GMEL,3.1958,3195023.362950542,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
208031188,Highett (East) - Cheltenham,2021,2GMEL,8.7376,8736083.505630568,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
208031189,Edithvale - Aspendale,2021,2GMEL,5.1001,5099796.781421367,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
208031190,Mentone,2021,2GMEL,4.45,4449167.635435694,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
208031191,Moorabbin - Heatherton,2021,2GMEL,11.6997,11698837.531139705,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
208031192,Moorabbin Airport,2021,2GMEL,3.0755,3075216.669536413,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
208031193,Mordialloc - Parkdale,2021,2GMEL,7.9681,7967035.87698765,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
208041194,Malvern - Glen Iris,2021,2GMEL,6.1552,6154948.306092753,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
208041195,Malvern East,2021,2GMEL,7.5666,7567251.841826231,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
209011196,Bundoora - East,2021,2GMEL,4.0749,4074714.7799926545,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
209011197,Greensborough,2021,2GMEL,10.0974,10095887.07484312,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
209011198,Heidelberg - Rosanna,2021,2GMEL,6.3717,6371455.012317021,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
209011199,Heidelberg West,2021,2GMEL,6.6912,6690936.112441852,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
209011200,Ivanhoe,2021,2GMEL,5.0498,5049959.3658372825,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
209011201,Ivanhoe East - Eaglemont,2021,2GMEL,4.2769,4277315.7401149655,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
209011202,Montmorency - Briar Hill,2021,2GMEL,12.0278,12026295.755745396,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
209011203,Viewbank - Yallambie,2021,2GMEL,10.2379,10237530.09346646,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
209011204,Watsonia,2021,2GMEL,3.7857,3785228.2621721574,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
209021205,Kingsbury,2021,2GMEL,9.0094,9008470.695915096,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
209021428,Preston - East,2021,2GMEL,7.7457,7744420.942003213,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
209021429,Preston - West,2021,2GMEL,3.5679,3567539.488779351,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
209021523,Reservoir - North East,2021,2GMEL,4.788,4787793.841962125,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
