sa2_code,indicator_key,component_key,value,unit,reference_period,source_id
206051134,transport_access,valid_intersection_area,2413147.024779621,m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206051134,transport_access,sa2_area,2413147.024779577,m2,Boundary 2021,abs-sa2-2021
206051134,green_space_per_resident,eligible_open_space_area,106597.44801438636,m2,Observation date unverified,vpa-open-space-snapshot
206051134,green_space_per_resident,population_denominator,17380,persons,2025-06-30,abs-erp-2024-25
206051511,population_growth,population_start,1709,persons,2020-06-30,abs-erp-2024-25
206051511,population_growth,population_end,3148,persons,2025-06-30,abs-erp-2024-25
206051511,transport_access,weighted_index_area_sum,49891138.73105093,access_index*m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206051511,transport_access,valid_intersection_area,7578861.829734525,m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206051511,transport_access,sa2_area,7642695.28550099,m2,Boundary 2021,abs-sa2-2021
206051511,green_space_per_resident,eligible_open_space_area,781666.0229238531,m2,Observation date unverified,vpa-open-space-snapshot
206051511,green_space_per_resident,population_denominator,3148,persons,2025-06-30,abs-erp-2024-25
206051512,population_growth,population_start,12721,persons,2020-06-30,abs-erp-2024-25
206051512,population_growth,population_end,13132,persons,2025-06-30,abs-erp-2024-25
206051512,transport_access,weighted_index_area_sum,52721176.90364385,access_index*m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206051512,transport_access,valid_intersection_area,1889630.3745029839,m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206051512,transport_access,sa2_area,1889630.3745031357,m2,Boundary 2021,abs-sa2-2021
206051512,green_space_per_resident,eligible_open_space_area,38738.99991320884,m2,Observation date unverified,vpa-open-space-snapshot
206051512,green_space_per_resident,population_denominator,13132,persons,2025-06-30,abs-erp-2024-25
206051513,population_growth,population_start,13380,persons,2020-06-30,abs-erp-2024-25
206051513,population_growth,population_end,14012,persons,2025-06-30,abs-erp-2024-25
206051513,transport_access,weighted_index_area_sum,53201047.07908414,access_index*m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206051513,transport_access,valid_intersection_area,1537613.7240889217,m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206051513,transport_access,sa2_area,1537613.7240889466,m2,Boundary 2021,abs-sa2-2021
206051513,green_space_per_resident,eligible_open_space_area,75738.30883664393,m2,Observation date unverified,vpa-open-space-snapshot
206051513,green_space_per_resident,population_denominator,14012,persons,2025-06-30,abs-erp-2024-25
206051514,population_growth,population_start,15648,persons,2020-06-30,abs-erp-2024-25
206051514,population_growth,population_end,16298,persons,2025-06-30,abs-erp-2024-25
206051514,transport_access,weighted_index_area_sum,62163351.90352472,access_index*m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206051514,transport_access,valid_intersection_area,2363690.467493593,m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206051514,transport_access,sa2_area,2363735.134814597,m2,Boundary 2021,abs-sa2-2021
206051514,green_space_per_resident,eligible_open_space_area,639889.7109927052,m2,Observation date unverified,vpa-open-space-snapshot
206051514,green_space_per_resident,population_denominator,16298,persons,2025-06-30,abs-erp-2024-25
206061135,population_growth,population_start,10075,persons,2020-06-30,abs-erp-2024-25
206061135,population_growth,population_end,10032,persons,2025-06-30,abs-erp-2024-25
206061135,transport_access,weighted_index_area_sum,72841763.12021953,access_index*m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206061135,transport_access,valid_intersection_area,2182790.1348122885,m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206061135,transport_access,sa2_area,2182790.1348123155,m2,Boundary 2021,abs-sa2-2021
206061135,green_space_per_resident,eligible_open_space_area,52156.133419192294,m2,Observation date unverified,vpa-open-space-snapshot
206061135,green_space_per_resident,population_denominator,10032,persons,2025-06-30,abs-erp-2024-25
206061136,population_growth,population_start,20847,persons,2020-06-30,abs-erp-2024-25
206061136,population_growth,population_end,21112,persons,2025-06-30,abs-erp-2024-25
206061136,transport_access,weighted_index_area_sum,95962002.54325813,access_index*m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206061136,transport_access,valid_intersection_area,2904489.4528978304,m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206061136,transport_access,sa2_area,2904489.4528979026,m2,Boundary 2021,abs-sa2-2021
