sa2_code,ptal_candidate_count,ptal_intersecting_count,ptal_valid_count,ptal_valid_covered_area_m2,ptal_coverage_fraction,park_candidate_count,park_included_feature_count,park_union_area_m2,park_overlap_removed_m2,selected_space_excluding_explicit_water_body_yes_m2_per_person,open_space_inventory_coverage_fraction
206051512,165,104,104,1889630.374502983,0.9999999999999192,70,29,38738.99991320884,7.275957614183426e-12,2.9499695334456932,
206051513,126,84,84,1537613.7240889214,0.9999999999999837,22,8,75738.30883664393,0.0,5.4052461345021365,
206051514,169,129,129,2363690.467493595,0.9999811030769293,65,49,639889.7109927052,0.28072962164878845,39.2618548897242,
206061135,151,114,114,2182790.134812289,0.9999999999999878,11,6,52156.133419192294,0.0,5.198976616745643,
206061136,185,146,146,2904489.4528978313,0.9999999999999755,93,27,141069.02238918253,0.001449834817321971,6.681935505361052,
206061138,274,204,204,4323341.196810312,1.0,93,27,100836.8195890481,0.0003699465742101893,7.409024216682468,
206061515,108,69,69,1169588.120554273,0.9999999999999383,68,17,225831.23369706704,0.0004052983713336289,16.38952273002929,
206061516,96,73,73,1347806.6171580353,1.0,31,20,28800.172156805715,0.0,2.758637179770662,
206071139,188,104,104,1740629.0253779113,1.0,112,48,271425.928582433,0.06502304971218109,26.28579198837244,
206071140,127,112,112,2304088.404639107,1.0,100,16,377336.8791565898,0.058189872186630964,42.74318975493769,
206071141,84,70,70,1267010.462939922,1.0,43,7,3461.740113669628,0.0,0.30411491818234454,
206071142,88,71,71,1377460.5795185324,0.9999999999999841,46,10,21130.143752877222,0.0,1.7412561807068168,
206071143,180,128,128,2504967.1995227127,0.9999999999999725,165,79,303190.320104136,0.0,22.051808866398396,
206071145,660,286,286,5208342.0608449485,1.0,364,57,1645547.555213583,0.09663925063796341,142.82498684704183,
206071517,298,213,213,4288771.834951907,0.99999999999999,208,57,639690.0280585785,0.03295283007901162,33.27386361813109,
206071518,121,101,101,1923595.3050105334,0.9999999999999968,70,27,73040.84459566367,0.00954330526292324,4.772975533925626,
207011146,238,147,147,2836246.751335072,0.9999999999999979,86,42,271090.25051224063,0.0023492606123909354,32.002154469627555,
207011147,359,269,269,5584971.600078922,0.9999999999999881,87,31,304033.5985244504,0.0,18.024282577925682,
207011148,532,406,406,8848160.56577817,0.9999999999999977,205,76,1042600.4657546582,2.016938971239142,46.39373943019313,
207011149,527,341,341,7290909.797609002,1.0,113,61,435775.5096025372,0.0005271778791211545,19.761269254604496,
207011150,515,277,277,5704877.24368495,1.0,150,74,566316.7978551966,0.015186780248768628,32.08593755553582,
207011152,270,188,188,3824272.4912203983,1.0,60,24,288779.77207202354,0.0,16.46313049837658,
207011154,272,202,202,4015302.36459625,1.0,166,49,540382.0339283162,0.008601632318459451,79.49415252453666,
207011155,408,276,276,5702012.308670506,1.0,95,37,258049.0605551358,0.0,15.90049051421127,
207011519,195,126,126,2455658.439843886,0.9999999999999452,221,43,261821.67848314994,0.003408755990676582,23.99832066756648,
207011520,298,168,168,3216011.6442660936,1.0,220,36,251160.42928857123,0.002188824786571786,18.519424073777863,
207011521,291,209,209,4322953.799969928,0.9999999999999793,73,19,198591.36493961816,0.005637118796585128,16.137767344353826,
207011522,614,321,321,6209705.989278784,1.0,343,131,1675388.4981857066,0.1715771984308958,121.41376175695957,
207021156,506,330,330,6670411.905845858,1.0,229,99,1400003.5523537945,0.46343403309583664,117.83711226876518,
207021157,618,409,409,8773244.51766798,0.9999999999999979,318,125,943318.6322243116,0.02908420783933252,33.270505139643014,
207021159,1090,729,729,16114902.619834134,0.9999999999999977,353,104,5432994.208180471,2.777040525339544,311.48917602574363,
207021160,515,281,281,5937488.674628731,1.0,153,58,910441.5189354914,0.0,61.95106381758285,
207021424,676,317,317,6402257.944830471,0.9999999999999967,300,69,677020.0495460674,1.548323780298233e-08,40.68141146172833,
207021425,295,229,229,4767989.962844481,1.0,109,56,266596.6209571999,6.064423359930515e-06,15.6978520259789,
207031161,516,392,392,8605918.863558121,0.9999999999999961,213,139,949357.0136360738,0.005189262446947396,31.82756667913585,
207031162,208,178,178,3596190.1913426816,1.0,77,35,322676.3621956277,5.820766091346741e-11,26.355870279722165,
207031163,415,323,323,7011467.635906239,1.0,190,81,583117.8647251654,0.0,21.433428829124658,
207031164,408,296,296,6207573.8661434045,0.9999999999999862,240,150,612637.0920432985,0.12476220598910004,31.003901419196065,
207031165,350,239,239,5038577.855604876,1.0,143,66,709672.6574857825,2.3283064365386963e-10,45.84448691768621,
207031166,286,208,208,4261720.373150739,1.0,89,39,349843.0960985788,5.820766091346741e-11,26.441426753198943,
207031167,215,163,163,3327567.6328410623,0.9999999999999925,93,21,61842.83440817543,0.0,5.738941574626525,
208011168,335,280,280,5966798.382981488,0.9998674060400601,146,29,446268.5156140516,0.0,30.806883585120172,
208011169,491,380,380,8199969.425848047,0.9999715090632872,123,42,636440.740956547,2.1187588572502136e-08,26.14793512557797,
208011170,432,271,271,5607535.201830268,0.9999999999999887,52,8,391694.7136812267,0.0,22.400475447856955,
208011171,450,258,258,5319200.720240248,1.0,84,12,172708.75962502262,0.0,13.027740787887351,
208011172,344,261,261,5521200.335050937,0.971254783217642,45,18,526389.5760516659,1.862645149230957e-08,26.961154274312868,
208011173,495,318,318,6425932.083329006,0.9994443244480857,121,22,761233.0804770276,0.0,42.1245686722926,
208021174,378,291,291,6224252.78533348,1.0,64,38,273858.1373847389,0.0,10.15568261457906,
208021176,256,182,182,3804359.9268902643,1.0,34,17,189174.76103830495,0.0,8.89564379941244,
208021177,576,306,306,6418842.188875617,0.9999999999999863,102,14,360409.1746565491,0.0,14.629964467487277,
208021178,279,224,224,4742017.622300338,1.0,27,8,145108.29063968765,5.820766091346741e-11,7.547502893981464,
